,max_depth,min_samples_split,n_estimators,mean_test_score,std_test_score,mean_fit_time
0,5,2,100,1.268436690590941,0.001580339797036383,19.587284485499065
1,5,2,200,1.268349675214541,0.0017708328602108732,43.17904249827067
2,5,2,400,1.2679559843091592,0.0016158172126831763,80.77390495936076
3,5,5,100,1.2685230708431392,0.0017798137901200706,19.70320455233256
4,5,5,200,1.2683961091808562,0.0017863126873064606,39.24522582689921
5,5,5,400,1.2679863234104118,0.0016785304911367616,78.63205448786418
6,5,10,100,1.268463218245141,0.0016048877671318068,19.61351251602173
7,5,10,200,1.267855454425128,0.0012748082435804463,40.080344359079994
8,5,10,400,1.2679821811104388,0.0017602997533100245,78.32212058703105
9,10,2,100,1.232011874266669,0.001685632253852302,39.22105352083842
10,10,2,200,1.2309882626292785,0.0022892919436321444,78.59978715578715
11,10,2,400,1.2303035793433186,0.0029503027816391,155.41820255915323
12,10,5,100,1.2315774418798624,0.002504185803414732,37.70704507827759
13,10,5,200,1.2309595872824606,0.002823985539692915,75.4953731695811
14,10,5,400,1.2302284786335307,0.002998555040979766,151.8841343720754
15,10,10,100,1.2317843066137977,0.002906247568046512,37.73211900393168
16,10,10,200,1.2304271869239791,0.003496208621944781,75.54013220469157
17,10,10,400,1.2302477130033307,0.003364694078030035,150.80792435010275
18,20,2,100,1.2429070259426183,0.0033859806885172795,65.94017036755879
19,20,2,200,1.2414453513509733,0.0035626027499474724,136.46193401018778
20,20,2,400,1.2400435321507988,0.0031368533543872862,292.5239671866099
21,20,5,100,1.241001883554994,0.0037866881002036118,66.87368861834209
22,20,5,200,1.2396687006406302,0.0026862466568582217,135.23149116834006
23,20,5,400,1.2377408046029592,0.003290424617769417,262.0754900773366
24,20,10,100,1.236806131427499,0.003663484770577584,74.2760108311971
25,20,10,200,1.235038843759922,0.0033181119545638363,154.79955458641052
26,20,10,400,1.2335232134732734,0.003054692646375993,269.9248425960541
