UserID,Top 3 Genres,Top 3 Years
ur117926588,"['Short', 'Reality-TV', 'Animation']","['2023', '1964', '1968']"
ur15298231,"['Film-Noir', 'Western', 'Documentary']","['1951', '1946', '1948']"
ur1994077,"['Western', 'Film-Noir', 'Short']","['1982', '1974', '1967']"
ur17646017,"['Mystery', 'Crime', 'Drama']","['2016', '2017', '2015']"
ur4532636,"['Documentary', 'Western', 'Film-Noir']","['1962', '1993', '1928']"
ur22171966,"['Documentary', 'Biography', 'War']","['1988', '1998', '2001']"
ur3223254,"['Documentary', 'War', 'History']","['1998', '1997', '1999']"
ur66111139,"['Documentary', 'Animation', 'Sport']","['1959', '1961', '1957']"
ur63040106,"['History', 'Sport', 'Biography']","['2011', '2013', '2012']"
ur84924605,"['Documentary', 'Biography', 'Romance']","['1973', '1979', '1993']"
ur4103165,"['Film-Noir', 'Sport', 'War']","['1957', '1946', '1986']"
ur59627333,"['Documentary', 'History', 'Biography']","['2022', '2019', '2021']"
ur98435364,"['Biography', 'Crime', 'History']","['2014', '2015', '2018']"
ur65836273,"['Reality-TV', 'Animation', 'War']","['1999', '2001', '2006']"
ur44059846,"['Adventure', 'Action', 'Fantasy']","['2014', '2013', '2020']"
ur7813355,"['Short', 'Biography', 'Musical']","['1989', '1992', '1971']"
ur98240498,"['Action', 'Sport', 'Sci-Fi']","['1987', '1989', '1985']"
ur59184301,"['Music', 'History', 'Biography']","['2016', '2011', '2010']"
ur57691865,"['Sport', 'Documentary', 'Action']","['2023', '2019', '2022']"
ur3793011,"['Animation', 'Documentary', 'Comedy']","['1994', '2005', '1998']"
